Code,Area,Year,Sex,Ethnicity,Pupils,Attainment8,Progress8
E09000002,Barking and Dagenham,2015/16,All,All Pupils,"2,201",49.7,0.15
E09000002,Barking and Dagenham,2015/16,All,Asian,398,55.4,0.54
E09000002,Barking and Dagenham,2015/16,All,Black,551,51,0.36
E09000002,Barking and Dagenham,2015/16,All,Chinese,6,54.8,0.18
E09000002,Barking and Dagenham,2015/16,All,Mixed,141,46.8,-0.1
E09000002,Barking and Dagenham,2015/16,All,White,"1,051",47.3,-0.06
E09000002,Barking and Dagenham,2015/16,Boys,All Pupils,"1,110",47.6,-0.02
E09000002,Barking and Dagenham,2015/16,Boys,Asian,209,53.5,0.39
E09000002,Barking and Dagenham,2015/16,Boys,Black,266,48.1,0.16
E09000002,Barking and Dagenham,2015/16,Boys,Chinese,x,x,x
E09000002,Barking and Dagenham,2015/16,Boys,Mixed,67,45.1,-0.33
E09000002,Barking and Dagenham,2015/16,Boys,White,533,45.4,-0.21
E09000002,Barking and Dagenham,2015/16,Girls,All Pupils,"1,091",51.8,0.32
E09000002,Barking and Dagenham,2015/16,Girls,Asian,189,57.5,0.7
E09000002,Barking and Dagenham,2015/16,Girls,Black,285,53.6,0.57
E09000002,Barking and Dagenham,2015/16,Girls,Chinese,x,x,x
E09000002,Barking and Dagenham,2015/16,Girls,Mixed,74,48.4,0.12
E09000002,Barking and Dagenham,2015/16,Girls,White,518,49.3,0.1
E09000003,Barnet,2015/16,All,All Pupils,"3,647",56.1,0.33
E09000003,Barnet,2015/16,All,Asian,512,63,0.58
E09000003,Barnet,2015/16,All,Black,489,50.6,0.2
E09000003,Barnet,2015/16,All,Chinese,46,68,0.66
E09000003,Barnet,2015/16,All,Mixed,363,57.5,0.31
E09000003,Barnet,2015/16,All,White,"1,835",55.4,0.27
E09000003,Barnet,2015/16,Boys,All Pupils,"1,856",54.6,0.22
E09000003,Barnet,2015/16,Boys,Asian,294,64.1,0.54
E09000003,Barnet,2015/16,Boys,Black,242,48.4,0.04
E09000003,Barnet,2015/16,Boys,Chinese,21,64.7,0.41
E09000003,Barnet,2015/16,Boys,Mixed,170,55.4,0.11
E09000003,Barnet,2015/16,Boys,White,923,53.3,0.15
E09000003,Barnet,2015/16,Girls,All Pupils,"1,791",57.5,0.44
E09000003,Barnet,2015/16,Girls,Asian,218,61.6,0.63
E09000003,Barnet,2015/16,Girls,Black,247,52.7,0.37
E09000003,Barnet,2015/16,Girls,Chinese,25,70.8,0.89
E09000003,Barnet,2015/16,Girls,Mixed,193,59.4,0.49
E09000003,Barnet,2015/16,Girls,White,912,57.5,0.39
E09000004,Bexley,2015/16,All,All Pupils,"3,192",52.2,-0.04
E09000004,Bexley,2015/16,All,Asian,207,59.9,0.31
E09000004,Bexley,2015/16,All,Black,532,56.6,0.35
E09000004,Bexley,2015/16,All,Chinese,40,63.4,0.38
E09000004,Bexley,2015/16,All,Mixed,161,50.7,-0.12
E09000004,Bexley,2015/16,All,White,"2,183",50.4,-0.17
E09000004,Bexley,2015/16,Boys,All Pupils,"1,641",50,-0.16
E09000004,Bexley,2015/16,Boys,Asian,108,56.8,0.13
E09000004,Bexley,2015/16,Boys,Black,262,52.8,0.22
E09000004,Bexley,2015/16,Boys,Chinese,22,62.5,0.22
E09000004,Bexley,2015/16,Boys,Mixed,90,49.4,-0.22
E09000004,Bexley,2015/16,Boys,White,"1,120",48.5,-0.28
E09000004,Bexley,2015/16,Girls,All Pupils,"1,551",54.6,0.08
E09000004,Bexley,2015/16,Girls,Asian,99,63.3,0.5
E09000004,Bexley,2015/16,Girls,Black,270,60.2,0.49
E09000004,Bexley,2015/16,Girls,Chinese,18,64.5,0.58
E09000004,Bexley,2015/16,Girls,Mixed,71,52.3,0
E09000004,Bexley,2015/16,Girls,White,"1,063",52.3,-0.06
E09000005,Brent,2015/16,All,All Pupils,"3,035",51.5,0.31
E09000005,Brent,2015/16,All,Asian,900,54.3,0.52
E09000005,Brent,2015/16,All,Black,767,46,0.02
E09000005,Brent,2015/16,All,Chinese,9,62.4,0.7
E09000005,Brent,2015/16,All,Mixed,158,49.2,-0.11
E09000005,Brent,2015/16,All,White,579,49.4,0.28
E09000005,Brent,2015/16,Boys,All Pupils,"1,515",49.2,0.15
E09000005,Brent,2015/16,Boys,Asian,456,52.9,0.44
