LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1819CAT1,T1819CAT2,T1819CAT3,T1819CAT4,T1819CAT5,T1819SUM,T1819CAT1LA,T1819CAT2LA,T1819CAT3LA,T1819CAT4LA,T1819CAT5LA,T1920CAT1,T1920CAT2,T1920CAT3,T1920CAT4,T1920CAT5,T1920SUM,T1920CAT1LA,T1920CAT2LA,T1920CAT3LA,T1920CAT4LA,T1920CAT5LA,T2021CAT1,T2021CAT2,T2021CAT3,T2021CAT4,T2021CAT5,T2021SUM,T2021CAT1LA,T2021CAT2LA,T2021CAT3LA,T2021CAT4LA,T2021CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1819CAT1,PT1819CAT2,PT1819CAT3,PT1819CAT4,PT1819CAT5,PT1819CAT1LA,PT1819CAT2LA,PT1819CAT3LA,PT1819CAT4LA,PT1819CAT5LA,PT1920CAT1,PT1920CAT2,PT1920CAT3,PT1920CAT4,PT1920CAT5,PT1920CAT1LA,PT1920CAT2LA,PT1920CAT3LA,PT1920CAT4LA,PT1920CAT5LA,PT2021CAT1,PT2021CAT2,PT2021CAT3,PT2021CAT4,PT2021CAT5,PT2021CAT1LA,PT2021CAT2LA,PT2021CAT3LA,PT2021CAT4LA,PT2021CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
937,125484,Non-London,Nursery,77,0,,6592,1311,7903,2451,78,2751,284,1087,0,161,110,46,44,270,267,7549,"4,344",155,"1,170",69,"6,762",1024,"6,049",186,"1,912",76,"9,333",3047,-117,949,57,8309,4373,3226,119,1933,90,11175,2451,78,1087,110,7549,3823,3287,157,2059,98,11116,-596,195,138,53,-760,83,17,32,1,36,4,14,0,2,1,1,1,4,4,64%,2%,17%,1%,100%,NA,NA,NA,NA,NA,37%,-1%,11%,1%,100%,NA,NA,NA,NA,NA,32%,1%,14%,1%,100%,NA,NA,NA,NA,NA,-5%,2%,3%,0%,0%
937,125486,Non-London,Nursery,70,0,,7608,2412,10020,2581,217,3740,299,2402,10,322,76,55,52,0,56,9810,"4,822",50,"3,021",87,"9,618",1638,"6,049",186,"1,912",76,"9,333",2808,209,2964,95,11737,5661,3226,119,1933,90,11175,2581,217,2402,76,9810,4534,3287,157,2059,98,11116,-227,8,-562,-19,"-1,927",76,24,26,2,38,3,24,0,3,1,1,1,0,1,50%,1%,31%,1%,100%,NA,NA,NA,NA,NA,24%,2%,25%,1%,100%,NA,NA,NA,NA,NA,26%,2%,24%,1%,100%,NA,NA,NA,NA,NA,2%,0%,-1%,0%,0%
937,125487,Non-London,Nursery,48,0,,8809,1922,10731,3530,244,3759,511,1006,326,138,95,126,20,273,85,10113,"6,182",296,829,82,"9,048",1659,"6,049",186,"1,912",76,"9,333",4296,187,1030,107,12995,7375,3226,119,1933,90,11175,3530,244,1006,95,10113,5238,3287,157,2059,98,11116,-766,57,-24,-12,"-2,882",82,18,35,2,37,5,10,3,1,1,1,0,3,1,68%,3%,9%,1%,100%,NA,NA,NA,NA,NA,33%,1%,8%,1%,100%,NA,NA,NA,NA,NA,35%,2%,10%,1%,100%,NA,NA,NA,NA,NA,2%,1%,2%,0%,0%
937,125488,Non-London,Nursery,38,0,,10832,3784,14616,4646,247,3293,517,4535,437,256,104,87,55,22,355,14554,"4,989",216,"2,256",69,"8,757",1227,"6,049",186,"1,912",76,"9,333",2909,160,2723,96,9280,3392,3226,119,1933,90,11175,4646,247,4535,104,14554,5022,3287,157,2059,98,11116,"1,737",87,"1,812",8,"5,274",74,26,32,2,23,4,31,3,2,1,1,0,0,2,57%,2%,26%,1%,100%,NA,NA,NA,NA,NA,31%,2%,29%,1%,100%,NA,NA,NA,NA,NA,32%,2%,31%,1%,100%,NA,NA,NA,NA,NA,1%,0%,2%,0%,0%
937,125490,Non-London,Nursery,30,15,,12025,557,12582,3919,49,7546,774,2170,346,194,144,131,104,106,143,15626,NA,13,"1,619",94,"10,840",9114,"6,049",186,"1,912",76,"9,333",4080,67,2272,150,16696,10127,3226,119,1933,90,11175,3919,49,2170,144,15626,9344,3287,157,2059,98,11116,-161,-18,-102,-6,"-1,070",96,4,25,0,48,5,14,2,1,1,1,1,1,1,SUPP,0%,15%,1%,100%,NA,NA,NA,NA,NA,24%,0%,14%,1%,100%,NA,NA,NA,NA,NA,25%,0%,14%,1%,100%,NA,NA,NA,NA,NA,1%,0%,0%,0%,0%
937,125491,Non-London,Nursery,41,0,,13815,1568,15383,4072,96,5829,978,2146,20,313,78,121,100,478,531,14762,"8,706",240,"2,204",61,"11,179",-32,"6,049",186,"1,912",76,"9,333",3009,235,1494,69,11802,6995,3226,119,1933,90,11175,4072,96,2146,78,14762,8370,3287,157,2059,98,11116,"1,063",-139,652,9,"2,960",90,10,28,1,39,7,15,0,2,1,1,1,3,4,78%,2%,20%,1%,100%,NA,NA,NA,NA,NA,25%,2%,13%,1%,100%,NA,NA,NA,NA,NA,28%,1%,15%,1%,100%,NA,NA,NA,NA,NA,3%,-1%,2%,0%,0%
937,125500,Non-London,Primary,101,29.4,,6654,98,6752,1868,1221,618,481,1778,196,777,77,80,45,399,169,7709,"3,397",22,727,68,"5,395",1181,"2,857",98,361,57,"4,562",1911,319,1116,92,6275,2837,2291,98,386,64,4876,1868,1221,1778,77,7709,2765,2479,98,386,55,4962,-43,902,662,-15,"1,434",99,1,24,16,8,6,23,3,10,1,1,1,5,2,63%,0%,13%,1%,100%,NA,NA,NA,NA,NA,30%,5%,18%,1%,100%,NA,NA,NA,NA,NA,24%,16%,23%,1%,100%,NA,NA,NA,NA,NA,-6%,11%,5%,0%,0%
937,139913,Non-London,Primary,223,30,,5304,35,5339,2680,99,720,308,421,171,211,125,101,29,51,199,5115,"3,237",277,348,114,"5,131",1155,"2,857",98,361,57,"4,562",2363,264,365,116,4960,1852,2291,98,386,64,4876,2680,99,421,125,5115,1790,2479,98,386,55,4962,317,-165,56,9,155,99,1,52,2,14,6,8,3,4,2,2,1,1,4,63%,5%,7%,2%,100%,NA,NA,NA,NA,NA,48%,5%,7%,2%,100%,NA,NA,NA,NA,NA,52%,2%,8%,2%,100%,NA,NA,NA,NA,NA,4%,-3%,1%,0%,0%
937,125507,Non-London,Primary,197,2.5,,4529,533,5062,2369,30,834,161,745,144,99,47,88,41,100,110,4768,"2,515",51,770,46,"4,599",1217,"2,857",98,361,57,"4,562",2066,82,680,59,4756,1869,2291,98,386,64,4876,2369,30,745,47,4768,1577,2479,98,386,55,4962,303,-52,65,-12,12,89,11,50,1,17,3,16,3,2,1,2,1,2,2,55%,1%,17%,1%,100%,NA,NA,NA,NA,NA,43%,2%,14%,1%,100%,NA,NA,NA,NA,NA,50%,1%,16%,1%,100%,NA,NA,NA,NA,NA,7%,-1%,2%,0%,0%
937,125510,Non-London,Primary,210,12.9,,5551,138,5689,2442,12,941,303,394,143,202,99,89,48,96,14,4783,"3,009",51,357,72,"4,455",966,"2,857",98,361,57,"4,562",2394,47,370,101,5085,2173,2291,98,386,64,4876,2442,12,394,99,4783,1836,2479,98,386,55,4962,48,-35,24,-2,-302,98,2,51,0,20,6,8,3,4,2,2,1,2,0,68%,1%,8%,2%,100%,NA,NA,NA,NA,NA,47%,1%,7%,2%,100%,NA,NA,NA,NA,NA,51%,0%,8%,2%,100%,NA,NA,NA,NA,NA,4%,-1%,1%,0%,0%
