RECTYPE,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,PCON_CODE,PCON_NAME,CONTFLAG,ICLOSE,NFTYPE,RELDENOM,ADMPOL,ADMPOL_PT,EGENDER,FEEDER,TABKS2,TAB1618,TPUP,PTEBACC_E_PTQ_EE,PTEBACENG_E_PTQ_EE,PTEBACMAT_E_PTQ_EE,PTEBAC2SCI_E_PTQ_EE,PTEBACHUM_E_PTQ_EE,PTEBACLAN_E_PTQ_EE
1,937,4000,137079,The George Eliot School,,Raveloe Drive,,,Nuneaton,CV11 4QP,2476744000,E14000868,Nuneaton,0,0,AC,None,NSE,OTHER NON SEL,MIXED,0,,,145,22%,99%,100%,98%,91%,22%
1,937,4002,137235,Stratford Girls' Grammar School,,Shottery Manor,,,Stratford-upon-Avon,CV37 9HA,1789293759,E14000977,Stratford-on-Avon,0,0,ACC,Does not apply,SEL,SEL,GIRLS,0,,,120,85%,100%,100%,100%,88%,97%
1,937,4003,139936,Nicholas Chamberlaine School,,Bulkington Road,,,Bedworth,CV12 9EA,2476312308,E14000854,North Warwickshire,0,0,AC,Does not apply,NSE,OTHER NON SEL,MIXED,0,,,210,61%,97%,98%,98%,96%,61%
1,937,4004,137771,Etone College,,Leicester Road,,,Nuneaton,CV11 6AA,2476757300,E14000868,Nuneaton,0,0,ACC,Does not apply,NSE,OTHER NON SEL,MIXED,0,,,126,48%,100%,100%,100%,100%,48%
1,937,4005,139937,The Queen Elizabeth Academy,,Witherley Road,,,Atherstone,CV9 1LZ,1827712477,E14000854,North Warwickshire,0,0,AC,None,NSE,OTHER NON SEL,MIXED,0,,,121,53%,100%,100%,98%,84%,59%
1,937,4006,140371,Harris Church of England Academy,,Harris Drive,Overslade Lane,,Rugby,CV22 6EA,1788812549,E14000905,Rugby,0,0,AC,Church of England,NSE,OTHER NON SEL,MIXED,0,,,131,6%,99%,99%,99%,57%,14%
1,937,4009,142881,Rugby Free Secondary School,,Anderson Avenue,,,Rugby,CV22 5PE,1788222060,E14000905,Rugby,0,0,F,None,NR,OTHER NON SEL,MIXED,0,,,163,22%,96%,98%,97%,80%,36%
1,937,4010,143707,Houlton School,,Signal Drive,Houlton,Rugby,"Warwickshire, Cv23 1ed",,1788593300,,,0,0,F,None,NSE,OTHER NON SEL,MIXED,0
1,937,4012,145019,Kingsbury School - A Specialist Science and Mathematics Academy,,Tamworth Road,Kingsbury,,Tamworth,B78 2LF,1827872316,E14000854,North Warwickshire,0,0,AC,None,NSE,OTHER NON SEL,MIXED,0,,,142,7%,99%,99%,98%,77%,20%
1,937,4014,145575,Bilton School,,Lawford Lane,,,Rugby,CV22 7JT,,E14000905,Rugby,0,0,AC,None,NR,OTHER NON SEL,MIXED,0,,,181,17%,98%,99%,99%,68%,32%
