RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_19,OVERALL_DESTPER_19,COHORT_DIS_19,OVERALL_DESTPER_DIS_19,COHORT_NONDIS_19,OVERALL_DESTPER_NONDIS_19,COHORT_18,OVERALL_DESTPER_18,COHORT_DIS_18,OVERALL_DESTPER_DIS_18,COHORT_NONDIS_18,OVERALL_DESTPER_NONDIS_18
1,937,4005,139937,0,The Queen Elizabeth Academy,AC,107,97,5,11,81,45,14,22,0,10,0,91%,5%,10%,76%,42%,13%,21%,0%,9%,0%,25,18,0,2,16,13,2,1,0,7,0,72%,0%,8%,64%,52%,8%,4%,0%,28%,0%,82,79,5,9,65,32,12,21,0,3,0,96%,6%,11%,79%,39%,15%,26%,0%,4%,0%,104,93%,23,78%,81,98%,104,96%,26,88%,78,99%
1,937,4112,136459,0,The Polesworth School,ACC,244,229,11,13,205,88,110,6,1,12,3,94%,5%,5%,84%,36%,45%,2%,SP,5%,1%,33,28,1,2,25,SUPP,7,0,SUPP,SUPP,SUPP,85%,3%,6%,76%,SUPP,21%,0%,SUPP,SUPP,SUPP,211,201,10,11,180,SUPP,103,6,SUPP,SUPP,SUPP,95%,5%,5%,85%,SUPP,49%,3%,SUPP,SUPP,SUPP,221,99%,33,97%,188,99%,225,94%,39,85%,186,96%
1,937,4113,138767,0,Shipston High School,ACC,87,81,7,3,71,35,34,0,2,5,1,93%,8%,3%,82%,40%,39%,0%,2%,6%,1%,13,11,SUPP,SUPP,9,6,3,0,0,SUPP,SUPP,85%,SUPP,SUPP,69%,46%,23%,0%,0%,SUPP,SUPP,74,70,SUPP,SUPP,62,29,31,0,2,SUPP,SUPP,95%,SUPP,SUPP,84%,39%,42%,0%,3%,SUPP,SUPP,89,96%,15,87%,74,97%,91,95%,15,87%,76,96%
1,937,4153,137767,0,Higham Lane School,ACC,244,235,7,5,223,45,85,91,2,5,4,96%,3%,2%,91%,18%,35%,37%,1%,2%,2%,31,30,0,2,28,9,5,14,0,1,0,97%,0%,6%,90%,29%,16%,45%,0%,3%,0%,213,205,7,3,195,36,80,77,2,4,4,96%,3%,1%,92%,17%,38%,36%,1%,2%,2%,247,96%,22,86%,225,96%,243,98%,37,95%,206,99%
1,937,4730,143634,0,St Benedict's Catholic High School,ACC,122,116,8,7,101,26,75,0,0,5,1,95%,7%,6%,83%,21%,61%,0%,0%,4%,1%,13,11,0,1,10,3,7,0,0,SUPP,SUPP,85%,0%,8%,77%,23%,54%,0%,0%,SUPP,SUPP,109,105,8,6,91,23,68,0,0,SUPP,SUPP,96%,7%,6%,83%,21%,62%,0%,0%,SUPP,SUPP,129,94%,14,93%,115,94%,108,100%,13,100%,95,100%
1,937,4803,141836,0,St Thomas More Catholic School and Sixth Form College,ACC,157,153,4,8,141,57,60,19,5,4,0,97%,3%,5%,90%,36%,38%,12%,3%,3%,0%,30,28,0,2,26,14,7,2,3,2,0,93%,0%,7%,87%,47%,23%,7%,10%,7%,0%,127,125,4,6,115,43,53,17,2,2,0,98%,3%,5%,91%,34%,42%,13%,2%,2%,0%,155,97%,29,90%,126,98%,154,95%,23,91%,131,96%
1,937,5401,137781,0,Ash Green School,ACC,164,152,6,10,136,53,53,29,1,9,3,93%,4%,6%,83%,32%,32%,18%,1%,5%,2%,44,39,0,5,34,23,7,SUPP,SUPP,4,1,89%,0%,11%,77%,52%,16%,SUPP,SUPP,9%,2%,120,113,6,5,102,30,46,SUPP,SUPP,5,2,94%,5%,4%,85%,25%,38%,SUPP,SUPP,4%,2%,164,90%,45,84%,119,92%,150,95%,40,95%,110,95%
1,937,5406,136595,0,Rugby High School,ACC,120,118,0,1,117,3,112,0,2,0,2,98%,0%,1%,98%,3%,93%,0%,2%,0%,2%,5,SUPP,0,SUPP,SUPP,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,115,113,0,SUPP,SUPP,2,108,0,SUPP,0,2,98%,0%,SUPP,SUPP,2%,94%,0%,SUPP,0%,2%,118,99%,SUPP,SUPP,SUPP,SUPP,95,98%,x,x,x,x
1,937,4000,137079,0,The George Eliot School,AC,159,151,5,5,141,70,5,65,1,8,0,95%,3%,3%,89%,44%,3%,41%,1%,5%,0%,39,35,2,3,30,21,SUPP,6,SUPP,4,0,90%,5%,8%,77%,54%,SUPP,15%,SUPP,10%,0%,120,116,3,2,111,49,SUPP,59,SUPP,4,0,97%,3%,2%,93%,41%,SUPP,49%,SUPP,3%,0%,125,94%,29,93%,96,94%,142,91%,42,79%,100,96%
1,937,4002,137235,0,Stratford Girls' Grammar School,ACC,117,115,0,1,114,2,108,0,4,1,1,98%,0%,1%,97%,2%,92%,0%,3%,1%,1%,7,SUPP,0,SUPP,7,0,7,0,0,SUPP,SUPP,SUPP,0%,SUPP,100%,0%,100%,0%,0%,SUPP,SUPP,110,SUPP,0,SUPP,107,2,101,0,4,SUPP,SUPP,SUPP,0%,SUPP,97%,2%,92%,0%,4%,SUPP,SUPP,120,100%,SUPP,SUPP,SUPP,SUPP,89,100%,x,x,x,x
