RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,937,4002,137235,Stratford Girls' Grammar School,ACC,0,0,,3,3,99,93%,1%,91%,63%,59%,8%,1%,99,93%,3,3,0,0%,NA,NA,0,0%,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,4003,139936,Nicholas Chamberlaine School,AC,0,0,,3,-11,41,54%,0%,51%,10%,10%,0%,2%,41,54%,-11,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,4004,137771,Etone College,ACC,0,0,,3,-8,43,60%,0%,60%,12%,9%,0%,0%,43,60%,-8,3,0,0%,NA,NA,0,0%,NA,NA,33%,0%,33%,17%,17%,0%,0%
1,937,4014,145575,Bilton School,AC,0,0,,3,3,53,66%,6%,58%,4%,4%,0%,2%,53,66%,3,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,4110,125734,Kineton High School,ACC,0,0,,3,-3,60,68%,3%,65%,15%,12%,0%,0%,59,69%,-2,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,4112,136459,The Polesworth School,ACC,0,0,,3,-7,178,67%,2%,64%,16%,16%,0%,1%,178,67%,-7,3,0,0%,NA,NA,0,0%,NA,NA,54%,0%,54%,8%,8%,0%,0%
1,937,4114,143905,Southam College,ACC,0,0,,3,2,160,77%,1%,76%,29%,23%,1%,0%,159,77%,2,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,29%,0%,29%,14%,14%,SUPP,0%
1,937,4124,137236,Stratford Upon Avon School,ACC,0,0,,3,-8,114,63%,3%,60%,12%,14%,0%,1%,114,63%,-8,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,937,4153,137767,Higham Lane School,ACC,0,0,,3,-7,68,75%,0%,75%,29%,22%,0%,0%,68,75%,-7,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,71%,43%,29%,0%,0%
1,937,4190,137770,Aylesford School and Sixth Form College,ACC,0,0,,3,-5,56,71%,2%,70%,18%,18%,4%,0%,56,71%,-5,3,0,0%,NA,NA,0,0%,NA,NA,63%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,937,4192,137766,Campion School,ACC,0,0,,3,-1,38,66%,0%,66%,16%,11%,3%,0%,30,77%,4,3,0,0%,NA,NA,8,25%,-18,3,50%,0%,50%,0%,0%,SUPP,0%
1,937,4233,136986,The Coleshill School,ACC,0,0,,3,-5,40,58%,0%,53%,10%,10%,0%,5%,34,59%,-7,3,0,0%,NA,NA,6,50%,11,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
