LA,LAESTAB,URN,NAME,NFTYPE,DESCRIPTION,NUMBER_OF_ENTRIES,QUALIFICATION,LEVEL,QUALIFICATION_TYPE
937,9374002,137235,Stratford Girls' Grammar School,ACC,Art and Design,8,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Biology,26,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Business Studies:Single,5,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Chemistry,30,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Computer Studies / Computing,7,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Drama and Theatre Studies,7,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Economics,6,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,English Literature,21,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,French,6,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Geography,13,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,German,7,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Government and Politics,10,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,History,16,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Japanese,1,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Mathematics,33,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Mathematics (Further),11,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Music,3,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Physics,17,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Psychology,11,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Religious Studies,12,A level,3,Academic
937,9374002,137235,Stratford Girls' Grammar School,ACC,Spanish,4,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Art and Design (Fine Art),3,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Art and Design (Photography),1,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Biology,7,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Business Studies:Single,18,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Chemistry,6,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,English Language and Literature,4,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Geography,13,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,History,1,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Italian,1,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Logic / Philosophy,12,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Mathematics,11,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Mathematics (Further),1,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Modern Greek,1,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Music,1,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Music Technology,1,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Psychology,27,A level,3,Academic
937,9374003,139936,Nicholas Chamberlaine School,AC,Sociology,9,A level,3,Academic
937,9374004,137771,Etone College,ACC,Art and Design (Fine Art),3,A level,3,Academic
937,9374004,137771,Etone College,ACC,Biology,9,A level,3,Academic
937,9374004,137771,Etone College,ACC,Business Studies:Single,12,A level,3,Academic
937,9374004,137771,Etone College,ACC,Chemistry,4,A level,3,Academic
937,9374004,137771,Etone College,ACC,English Language,1,A level,3,Academic
937,9374004,137771,Etone College,ACC,Geography,8,A level,3,Academic
937,9374004,137771,Etone College,ACC,History,1,A level,3,Academic
937,9374004,137771,Etone College,ACC,Mathematics,11,A level,3,Academic
937,9374004,137771,Etone College,ACC,Mathematics (Further),2,A level,3,Academic
937,9374004,137771,Etone College,ACC,Physics,5,A level,3,Academic
937,9374004,137771,Etone College,ACC,Psychology,12,A level,3,Academic
937,9374004,137771,Etone College,ACC,Sociology,9,A level,3,Academic
937,9374014,145575,Bilton School,AC,Art and Design,5,A level,3,Academic
937,9374014,145575,Bilton School,AC,Art and Design (Fine Art),4,A level,3,Academic
937,9374014,145575,Bilton School,AC,Art and Design (Graphics),2,A level,3,Academic
937,9374014,145575,Bilton School,AC,Art and Design (Photography),8,A level,3,Academic
937,9374014,145575,Bilton School,AC,Chemistry,1,A level,3,Academic
937,9374014,145575,Bilton School,AC,Computer Studies / Computing,5,A level,3,Academic
937,9374014,145575,Bilton School,AC,English Literature,6,A level,3,Academic
937,9374014,145575,Bilton School,AC,Geography,4,A level,3,Academic
937,9374014,145575,Bilton School,AC,History,6,A level,3,Academic
937,9374014,145575,Bilton School,AC,Law,7,A level,3,Academic
937,9374014,145575,Bilton School,AC,Mathematics,6,A level,3,Academic
937,9374014,145575,Bilton School,AC,Physical Education / Sports Studies,8,A level,3,Academic
937,9374014,145575,Bilton School,AC,Psychology,32,A level,3,Academic
937,9374014,145575,Bilton School,AC,Sociology,18,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Art and Design (Fine Art),10,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Art and Design (Photography),5,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Biology,7,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Business Studies:Single,15,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Chemistry,5,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Computer Studies / Computing,3,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,English Language,9,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,English Literature,7,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Geography,4,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,History,10,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Mathematics,20,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Mathematics (Further),6,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Physical Education / Sports Studies,3,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Physics,10,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Psychology,25,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Sociology,17,A level,3,Academic
937,9374110,147432,Kineton High School,ACC,Spanish,1,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Art and Design (Fine Art),5,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Biology,23,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Business Studies:Single,29,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Chemistry,15,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Classical Civilisation,10,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Drama and Theatre Studies,15,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Economics,15,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,English Literature,25,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Geography,18,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,German,4,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Government and Politics,12,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,History,26,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Law,16,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Mathematics,59,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Mathematics (Further),10,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Media/Film/Tv Studies,16,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Physical Education / Sports Studies,17,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Physics,14,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Psychology,41,A level,3,Academic
937,9374112,136459,The Polesworth School,ACC,Religious Studies,15,A level,3,Academic
