URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
122155,Warwickshire,937,7020,9377020,RNIB Pears Centre for Specialist Learning,Wheelwright Lane,,,Coventry,CV7 9RA,Closed,,07-11-2018,Special school,Non-maintained special school,1,1,1,4,19,Mixed,Does not apply,Not applicable
125500,Warwickshire,937,2001,9372001,Nursery Hill Primary School,Ansley Common,,,Nuneaton,CV10 0PY,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
125507,Warwickshire,937,2017,9372017,Claverdon Primary School,Breach Lane,Claverdon,,Warwick,CV35 8QA,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125510,Warwickshire,937,2021,9372021,Wheelwright Lane Primary School,Wheelwright Lane,Ash Green,,Coventry,CV7 9HN,Open,,,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Not applicable
125511,Warwickshire,937,2024,9372024,Great Alne Primary School,School Road,Great Alne,,Alcester,B49 6HQ,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125512,Warwickshire,937,2028,9372028,Michael Drayton Junior School,The Woodlands,Hartshill,,Nuneaton,CV10 0SZ,Open,,,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Not applicable
125513,Warwickshire,937,2029,9372029,Nathaniel Newton Infant School,Victoria Road,Hartshill,,Nuneaton,CV10 0LS,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable
125515,Warwickshire,937,2032,9372032,Hurley Primary School,Heanley Lane,Hurley,,Atherstone,CV9 2HY,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125519,Warwickshire,937,2043,9372043,Quinton Primary School,,Lower Quinton,,Stratford-upon-Avon,CV37 8SA,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
125521,Warwickshire,937,2046,9372046,Snitterfield Primary School,School Road,Snitterfield,,Stratford-upon-Avon,CV37 0JL,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125525,Warwickshire,937,2052,9372052,Thomas Jolyffe Primary School,Clopton Road,,,Stratford-upon-Avon,CV37 6TE,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125526,Warwickshire,937,2053,9372053,Bridgetown Primary School,Byron Road,,,Stratford-upon-Avon,CV37 7JP,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125527,Warwickshire,937,2055,9372055,Studley Community Infants' School,High Street,,,Studley,B80 7HJ,Closed,,31-03-2021,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Not applicable
125528,Warwickshire,937,2058,9372058,Welford-on-Avon Primary School,Headland Road,Welford-on-Avon,,Stratford-upon-Avon,CV37 8ER,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
125530,Warwickshire,937,2064,9372064,Lighthorne Heath Primary School,Stratford Road,Lighthorne Heath,,Leamington Spa,CV33 9TW,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
125537,Warwickshire,937,2103,9372103,Chilvers Coton Community Infant School,Fitton Street,,,Nuneaton,CV11 5RB,Open,,,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Not applicable
125539,Warwickshire,937,2107,9372107,Galley Common Infant School,Plough Hill Road,Galley Common,,Nuneaton,CV10 9NZ,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable
125543,Warwickshire,937,2121,9372121,Stockingford Primary School,Cross Street,,,Nuneaton,CV10 8JH,Closed,,31-08-2019,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
125545,Warwickshire,937,2123,9372123,Whitestone Infant School,Magyar Crescent,,,Nuneaton,CV11 4SQ,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable
125550,Warwickshire,937,2307,9372307,Thorns Community Infant School,Blackthorn Road,,,Kenilworth,CV8 2DS,Open,,,Maintained school,Community school,1,0,0,4,7,Mixed,Does not apply,Not applicable
