LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
937,2327,125563,Primary,17,21,4,11.6,12.5,2.1,12.9,"£41,812"
937,2598,125603,Primary,14,10,5,12.8,5.8,3.2,12.9,"£31,626"
937,2569,125584,Primary,7,11,2,6.3,6.8,1.8,12.9,"£41,050"
937,2083,136061,Primary,22,25,6,20.6,19.2,3.9,15,"£39,725"
937,2421,125580,Primary,12,13,5,10.4,9.0,3.7,12.9,"£42,179"
937,3073,125651,Primary,22,23,23,16.8,11.4,6.6,12.9,"£41,243"
937,2021,125510,Primary,15,15,4,9.6,10.1,3.2,12.9,"£41,522"
937,2417,125576,Primary,11,19,4,8.3,13.9,2.2,12.9,"£37,865"
937,2633,130896,Primary,18,25,5,17.2,17.2,4.3,16.5,"£38,026"
937,3068,125649,Primary,8,3,2,5.9,1.2,2.0,12.9,"£44,895"
937,2053,125526,Primary,18,30,4,16.5,16.2,3.4,12.9,"£42,472"
937,2307,125550,Primary,9,9,3,6.5,5.8,1.2,12.9,"£41,906"
937,2308,125551,Primary,14,10,4,9.4,5.9,2.3,12.9,"£42,451"
937,2605,125609,Primary,11,21,4,8.9,8.8,2.8,12.9,"£39,792"
937,2001,125500,Primary,4,4,2,2.7,2.5,1.1,12.9,"£35,523"
937,2634,130897,Primary,23,26,6,20.7,17.5,4.3,16.5,"£38,539"
937,3106,125656,Primary,22,33,7,20.0,17.5,4.0,12.9,"£38,640"
937,3302,125689,Primary,33,41,10,25.5,24.8,4.5,12.9,"£35,316"
937,3313,125696,Primary,7,4,3,4.8,2.0,1.0,12.9,"£42,057"
937,3544,125716,Primary,12,13,3,9.9,8.0,1.5,12.9,"£38,692"
937,3561,125721,Primary,8,9,0,5.7,6.1,0.0,12.9,"£41,129"
937,2028,125512,Primary,27,32,9,25.4,18.5,6.1,12.9,"£39,177"
937,2029,125513,Primary,16,23,4,12.6,11.6,2.3,12.9,"£39,604"
937,2312,125554,Primary,11,20,2,9.5,10.6,1.8,12.9,"£37,913"
937,2017,125507,Primary,10,14,2,9.1,6.9,1.3,12.9,"£38,566"
937,3564,125724,Primary,8,12,1,6.3,6.1,1.0,12.9,"£40,870"
937,3546,125718,Primary,10,12,2,9.3,6.3,1.5,12.9,"£37,637"
937,5203,125762,Primary,5,6,1,5.0,3.5,0.5,12.9,"£35,950"
937,3212,130875,Primary,11,9,4,9.4,4.7,1.8,16.5,"£37,787"
937,3014,125626,Primary,5,5,1,3.4,2.6,0.8,12.9,"£34,564"
937,5202,125761,Primary,12,17,2,11.0,9.4,1.7,12.9,"£40,892"
937,3101,125653,Primary,11,16,4,9.5,12.8,2.2,12.9,"£40,636"
937,3103,125654,Primary,9,14,3,8.0,9.5,2.3,12.9,"£40,757"
937,3214,130882,Primary,6,7,1,5.0,3.0,0.9,16.5,"£38,739"
937,3031,125635,Primary,11,5,2,5.2,3.9,0.8,12.9,"£41,162"
937,3141,125657,Primary,12,12,3,8.8,5.8,1.4,12.9,"£41,928"
937,3157,125667,Primary,21,18,8,16.0,13.0,3.9,12.9,"£40,377"
937,3543,125715,Primary,10,8,2,9.1,5.5,1.4,12.9,"£39,618"
937,3545,125717,Primary,7,14,3,5.0,5.4,1.5,12.9,"£38,280"
937,3593,130878,Primary,20,16,6,15.9,7.6,4.8,16.5,"£36,936"
937,2324,125560,Primary,14,9,7,12.3,7.3,3.6,12.9,"£39,709"
937,2032,125515,Primary,13,14,3,11.1,9.9,2.1,12.9,"£35,177"
937,2058,125528,Primary,9,18,3,8.5,13.8,2.7,12.9,"£38,867"
937,2123,125545,Primary,12,18,4,10.4,10.0,2.3,12.9,"£39,626"
937,2618,125620,Primary,16,29,4,13.3,13.1,2.6,12.9,"£41,673"
937,2635,130898,Primary,8,8,3,8.0,4.5,2.8,16.5,"£40,038"
937,2637,130951,Primary,15,12,5,11.0,7.9,2.8,16.5,"£36,459"
937,2322,125559,Primary,8,15,2,6.7,7.7,1.4,12.9,"£39,643"
937,2405,125570,Primary,31,26,5,28.8,17.4,4.4,12.9,"£36,605"
937,2623,130867,Primary,33,54,5,28.5,21.5,4.5,16.5,"£40,170"
937,2640,132059,Primary,27,33,8,25.4,23.0,6.7,16.5,"£39,277"
937,3152,125665,Primary,13,10,2,7.6,6.3,1.1,12.9,"£38,796"
937,3308,125692,Primary,12,10,3,10.3,4.8,2.1,12.9,"£39,638"
937,3024,125631,Primary,15,14,3,9.3,8.3,1.7,12.9,"£40,678"
937,3147,125662,Primary,13,17,4,9.4,5.6,1.5,12.9,"£35,052"
937,3192,125676,Primary,9,17,1,8.6,6.0,1.0,12.9,"£41,981"
937,3391,125703,Primary,15,11,4,12.3,8.8,3.0,12.9,"£38,607"
937,3598,136507,Primary,23,14,5,21.8,10.5,4.9,15,"£39,283"
937,3205,125682,Primary,20,16,6,15.3,12.0,2.5,12.9,"£41,083"
937,2309,125552,Primary,15,13,3,11.0,7.8,2.1,12.9,"£38,496"
937,2629,130889,Primary,37,32,6,31.1,20.8,5.5,16.5,"£40,089"
937,3035,125637,Primary,7,5,1,4.9,2.9,1.0,12.9,"£39,613"
937,3041,125640,Primary,6,7,3,5.4,3.3,2.0,12.9,"£43,120"
937,2603,125607,Primary,14,12,2,12.4,8.3,1.8,12.9,"£39,283"
937,2626,130886,Primary,14,12,2,11.0,7.1,1.1,16.5,"£39,948"
937,2628,130887,Primary,20,15,3,18.0,10.8,2.5,16.5,"£39,479"
937,2107,125539,Primary,8,11,2,6.3,3.5,1.3,12.9,"£43,233"
937,3032,125636,Primary,12,10,4,9.0,5.5,1.4,12.9,"£39,683"
937,2581,125591,Primary,15,13,4,14.2,9.2,3.4,12.9,"£35,923"
937,2601,125605,Primary,14,7,5,13.2,5.5,3.6,12.9,"£36,285"
937,2420,125579,Primary,11,12,2,8.4,5.5,1.9,12.9,"£38,709"
937,2423,125581,Primary,10,13,3,7.2,6.9,1.7,12.9,"£40,987"
937,2571,125585,Primary,10,18,4,9.1,9.5,1.8,12.9,"£41,420"
937,2621,130869,Primary,15,15,6,13.3,13.0,3.4,16.5,"£40,691"
937,2625,130885,Primary,30,35,7,27.8,25.2,5.6,16.5,"£35,190"
937,2330,125565,Primary,20,14,4,18.2,9.2,2.6,12.9,"£36,716"
937,2614,125616,Primary,9,15,2,7.0,8.7,1.7,12.9,"£43,950"
937,3216,130379,Primary,7,7,1,6.5,3.7,1.0,16.5,"£38,197"
937,3507,125710,Primary,13,14,4,10.3,5.5,2.3,12.9,"£42,414"
937,3547,125719,Primary,13,17,3,9.5,7.0,1.2,12.9,"£40,217"
937,3144,125660,Primary,10,15,3,6.6,7.8,2.1,12.9,"£38,056"
937,3301,125688,Primary,13,14,5,10.6,10.5,2.9,12.9,"£36,543"
937,2024,125511,Primary,11,8,4,5.4,5.5,1.6,12.9,"£40,743"
937,2606,125610,Primary,19,19,2,14.8,10.6,1.7,12.9,"£38,464"
937,2055,125527,Primary,9,12,3,8.6,7.7,2.3,12.9,"£42,743"
937,2064,125530,Primary,6,3,3,2.8,1.8,1.2,12.9,"£30,599"
937,3146,125661,Primary,18,15,5,17.4,10.4,3.6,12.9,"£37,142"
937,3177,125670,Primary,12,15,5,8.8,6.3,2.7,12.9,"£40,704"
937,2052,125525,Primary,22,14,2,18.6,9.8,2.0,12.9,"£36,724"
937,2590,125598,Primary,28,27,6,22.8,12.5,4.2,12.9,"£38,911"
937,3215,130881,Primary,8,14,3,6.6,6.0,1.4,16.5,"£37,319"
937,3589,130884,Primary,12,15,6,10.0,8.0,2.8,16.5,"£38,363"
937,3590,130910,Primary,12,25,2,9.4,8.7,1.6,16.5,"£40,560"
937,3542,125714,Primary,5,4,1,5.0,3.1,1.0,12.9,"£36,202"
